date,price,return
11/06/2018,30515.5,-0.001735316
12/06/2018,30506.5,-0.000294976
13/06/2018,30514,0.000245819
14/06/2018,30255.5,-0.008507609
15/06/2018,30312,0.001865688
18/06/2018,30244,-0.002245856
19/06/2018,30120.5,-0.004091815
20/06/2018,30123.5,9.96E-05
21/06/2018,30317,0.006403013
22/06/2018,30377.5,0.001993592
25/06/2018,30401,0.0007733
26/06/2018,30316.5,-0.002783384
27/06/2018,30077,-0.007931359
28/06/2018,29998,-0.002630047
29/06/2018,30324.5,0.010825254
02/07/2018,30169,-0.00514106
03/07/2018,30405,0.007792161
04/07/2018,30484,0.002594887
05/07/2018,30477,-0.000229655
06/07/2018,30605,0.004191094
09/07/2018,30547,-0.001896913
10/07/2018,30587.5,0.001324948
11/07/2018,30430,-0.005162465
12/07/2018,30437,0.00023001
13/07/2018,30507,0.002297192
16/07/2018,30508.5,4.92E-05
17/07/2018,30231,-0.009137445
18/07/2018,30130.5,-0.00332994
19/07/2018,30000,-0.004340566
20/07/2018,30279,0.009257021
23/07/2018,30431,0.005007423
24/07/2018,30563.5,0.004344661
25/07/2018,30622,0.001912218
26/07/2018,30386.5,-0.007720274
27/07/2018,30461,0.002448746
30/07/2018,30545,0.002753829
31/07/2018,30562.5,0.000572761
01/08/2018,30572.5,0.000327145
02/08/2018,30310.5,-0.008606725
03/08/2018,30315.5,0.000164946
06/08/2018,30168,-0.004877373
07/08/2018,30153,-0.000497339
08/08/2018,29993.5,-0.005303729
09/08/2018,29851,-0.004762351
10/08/2018,29722.5,-0.004314005
13/08/2018,29769,0.001563249
14/08/2018,29668,-0.00339856
15/08/2018,29602,-0.002227097
16/08/2018,29653,0.001721374
17/08/2018,29706,0.001785745
20/08/2018,29783.5,0.002605503
21/08/2018,30022,0.007975897
22/08/2018,30050,0.000932215
23/08/2018,29842,-0.006945864
24/08/2018,29951,0.003645916
27/08/2018,30033,0.002734064
28/08/2018,30000,-0.001099395
